Time(s)	SetTemp(K)	Temp(K)	HeatPower	P	I	D	
529.217674970627	400	267.164	0	130	50	0	-1670589913.33586
534.318900108337	400	266.363	0	130	50	0	-1670589908.23463
539.399230003357	400	265.655	0	130	50	0	-1670589903.1543
544.482847929001	400	264.954	0	130	50	0	-1670589898.07068
549.552312135696	400	264.046	0	130	50	0	-1670589893.00122
554.627512931824	400	263.369	0	130	50	0	-1670589887.92602
559.706493139267	400	262.353	0	130	50	0	-1670589882.84704
564.774801015854	400	261.975	0	130	50	0	-1670589877.77873
569.848299980164	400	261.255	0	130	50	0	-1670589872.70523
574.906947135925	400	260.296	0	130	50	0	-1670589867.64658
579.997646093369	400	259.611	0	130	50	0	-1670589862.55588
585.07852602005	400	258.699	0	130	50	0	-1670589857.475
590.159395933151	400	258.403	0	130	50	0	-1670589852.39413
595.241087913513	400	257.494	0	130	50	0	-1670589847.31244
600.322030067444	400	257.102	0	130	50	0	-1670589842.2315
605.406227111816	400	255.991	0	130	50	0	-1670589837.1473
610.494215011597	400	255.356	0	130	50	0	-1670589832.05932
615.57887005806	400	254.912	0	130	50	0	-1670589826.97466
620.655298948288	400	253.763	0	130	50	0	-1670589821.89823
625.726571083069	400	253.157	0	130	50	0	-1670589816.82696
630.811784982681	400	252.519	0	130	50	0	-1670589811.74175
635.898731946945	400	251.35	0	130	50	0	-1670589806.6548
640.96984410286	400	251.225	0	130	50	0	-1670589801.58369
646.05243897438	400	250.273	0	130	50	0	-1670589796.50109
651.112267971039	400	249.808	0	130	50	0	-1670589791.44126
656.192497968674	400	248.906	0	130	50	0	-1670589786.36103
661.263875007629	400	248.292	0	130	50	0	-1670589781.28966
666.334391117096	400	247.748	0	130	50	0	-1670589776.21914
671.416093111038	400	246.924	0	130	50	0	-1670589771.13744
676.487539052963	400	246.297	0	130	50	0	-1670589766.06599
681.571329116821	400	245.827	0	130	50	0	-1670589760.9822
686.64857506752	400	244.819	0	130	50	0	-1670589755.90495
691.719798088074	400	244.487	0	130	50	0	-1670589750.83373
696.80050110817	400	243.475	0	130	50	0	-1670589745.75303
701.891674041748	400	243.278	0	130	50	0	-1670589740.66186
706.965748071671	400	242.018	0	130	50	0	-1670589735.58778
712.035514116287	400	241.921	0	130	50	0	-1670589730.51802
717.104818105698	400	240.851	0	130	50	0	-1670589725.44871
722.195724964142	400	240.665	0	130	50	0	-1670589720.35781
727.286335945129	400	239.553	0	130	50	0	-1670589715.26719
732.367474079132	400	239.412	0	130	50	0	-1670589710.18606
737.438498020172	400	238.34	0	130	50	0	-1670589705.11503
742.52020907402	400	238.077	0	130	50	0	-1670589700.03332
747.590506076813	400	237.545	0	130	50	0	-1670589694.96302
752.66210603714	400	236.778	0	130	50	0	-1670589689.89142
757.735523939133	400	235.926	0	130	50	0	-1670589684.81801
762.813591957092	400	235.8	0	130	50	0	-1670589679.73994
767.89191699028	400	234.554	0	130	50	0	-1670589674.66161
772.966260910034	400	234.418	0	130	50	0	-1670589669.58727
778.037384033203	400	233.464	0	130	50	0	-1670589664.51615
783.117969989777	400	233.252	0	130	50	0	-1670589659.43556
788.19896197319	400	232.255	0	130	50	0	-1670589654.35457
793.282346963882	400	231.984	0	130	50	0	-1670589649.27118
798.372476100922	400	230.947	0	130	50	0	-1670589644.18105
803.441951990128	400	230.818	0	130	50	0	-1670589639.11158
808.563323020935	400	229.561	0	130	50	0	-1670589633.99021
813.63397693634	400	229.5	0	130	50	0	-1670589628.91955
818.714836120605	400	228.564	0	130	50	0	-1670589623.83869
823.7952439785	400	227.948	0	130	50	0	-1670589618.75829
828.877715110779	400	227.466	0	130	50	0	-1670589613.67581
833.952825069427	400	226.719	0	130	50	0	-1670589608.6007
839.051427125931	400	226.302	0	130	50	0	-1670589603.5021
844.119429111481	400	225.972	0	130	50	0	-1670589598.4341
849.200762033463	400	225.19	0	130	50	0	-1670589593.35277
854.271641969681	400	224.846	0	130	50	0	-1670589588.28189
859.342499017715	400	224.148	0	130	50	0	-1670589583.21103
864.423991918564	400	223.726	0	130	50	0	-1670589578.12954
869.504818916321	400	223.134	0	130	50	0	-1670589573.04871
874.575220108032	400	222.658	0	130	50	0	-1670589567.97831
879.666234970093	400	222.047	0	130	50	0	-1670589562.8873
884.747642993927	400	221.236	0	130	50	0	-1670589557.80589
889.828779935837	400	220.945	0	130	50	0	-1670589552.72475
894.929951906204	400	219.785	0	130	50	0	-1670589547.62358
900.010961055756	400	219.768	0	130	50	0	-1670589542.54257
905.101505994797	400	218.533	0	130	50	0	-1670589537.45202
910.182193040848	400	218.603	0	130	50	0	-1670589532.37134
915.275872945786	400	217.494	0	130	50	0	-1670589527.27766
920.344736099243	400	217.534	0	130	50	0	-1670589522.20879
925.425653934479	400	216.601	0	130	50	0	-1670589517.12788
930.496416091919	400	216.477	0	130	50	0	-1670589512.05711
935.567910909653	400	215.507	0	130	50	0	-1670589506.98562
940.639068126678	400	215.375	0	130	50	0	-1670589501.91446
945.709161043167	400	214.281	0	130	50	0	-1670589496.84437
950.781088113785	400	214.264	0	130	50	0	-1670589491.77244
955.851542949677	400	213.325	0	130	50	0	-1670589486.70199
960.933056116104	400	213.251	0	130	50	0	-1670589481.62047
966.003916025162	400	212.272	0	130	50	0	-1670589476.54961
971.075428009033	400	212.226	0	130	50	0	-1670589471.4781
976.145657062531	400	211.185	0	130	50	0	-1670589466.40787
981.227607965469	400	211.167	0	130	50	0	-1670589461.32592
986.299207925797	400	210.381	0	130	50	0	-1670589456.25432
991.378691911697	400	210.015	0	130	50	0	-1670589451.17484
996.439517021179	400	209.46	0	130	50	0	-1670589446.11401
1001.52010798454	400	208.668	0	130	50	0	-1670589441.03342
1006.59156012535	400	208.434	0	130	50	0	-1670589435.96197
1011.68295407295	400	207.145	0	130	50	0	-1670589430.87058
1016.75351595879	400	207.263	0	130	50	0	-1670589425.80001
1021.8251349926	400	206.532	0	130	50	0	-1670589420.7284
1026.90551710129	400	206.037	0	130	50	0	-1670589415.64801
1031.97728395462	400	205.749	0	130	50	0	-1670589410.57625
1037.04733705521	400	204.7	0	130	50	0	-1670589405.50619
1042.12830901146	400	204.771	0	130	50	0	-1670589400.42522
1047.19995307922	400	203.988	0	130	50	0	-1670589395.35358
1052.2819070816	400	203.536	0	130	50	0	-1670589390.27162
1057.34212493896	400	203.245	0	130	50	0	-1670589385.21141
1062.42208504677	400	202.322	0	130	50	0	-1670589380.13144
1067.49343395233	400	202.311	0	130	50	0	-1670589375.0601
1072.56591391563	400	201.421	0	130	50	0	-1670589369.98762
1077.6462790966	400	200.943	0	130	50	0	-1670589364.90725
1082.72780203819	400	200.609	0	130	50	0	-1670589359.82573
1087.7971739769	400	199.93	0	130	50	0	-1670589354.75636
1092.86857390404	400	199.443	0	130	50	0	-1670589349.68496
1097.93920207024	400	199.068	0	130	50	0	-1670589344.61433
1103.02045702934	400	198.375	0	130	50	0	-1670589339.53307
1108.09114003181	400	197.87	0	130	50	0	-1670589334.46239
1113.16801905632	400	197.524	0	130	50	0	-1670589329.38551
1118.24367713928	400	196.785	0	130	50	0	-1670589324.30985
1123.31676697731	400	196.549	0	130	50	0	-1670589319.23676
1128.39575099945	400	195.884	0	130	50	0	-1670589314.15778
1133.47010612488	400	195.493	0	130	50	0	-1670589309.08342
1138.55611109734	400	194.609	0	130	50	0	-1670589303.99742
1143.6516289711	400	194.514	0	130	50	0	-1670589298.9019
1148.72921299934	400	193.488	0	130	50	0	-1670589293.82432
1153.8001639843	400	193.568	0	130	50	0	-1670589288.75337
1158.8710000515	400	193.153	0	130	50	0	-1670589283.68253
1163.95266890526	400	192.778	0	130	50	0	-1670589278.60086
1169.03365898132	400	192.141	0	130	50	0	-1670589273.51987
1174.10491895676	400	191.767	0	130	50	0	-1670589268.44861
1179.20621800423	400	190.821	0	130	50	0	-1670589263.34731
1184.28659296036	400	190.769	0	130	50	0	-1670589258.26694
1189.35748004913	400	189.774	0	130	50	0	-1670589253.19605
1194.42832398415	400	189.811	0	130	50	0	-1670589248.12521
1199.49909710884	400	188.879	0	130	50	0	-1670589243.05443
1204.57008910179	400	188.778	0	130	50	0	-1670589237.98344
1209.66127800941	400	187.935	0	130	50	0	-1670589232.89225
1214.74283909798	400	187.858	0	130	50	0	-1670589227.81069
1219.82529091835	400	187.107	0	130	50	0	-1670589222.72824
1224.92207694054	400	186.762	0	130	50	0	-1670589217.63145
1230.01491713524	400	186.266	0	130	50	0	-1670589212.53861
1235.10457992554	400	186.184	0	130	50	0	-1670589207.44895
1240.1979329586	400	185.57	0	130	50	0	-1670589202.3556
1245.25890207291	400	185.214	0	130	50	0	-1670589197.29463
1250.32909607887	400	184.739	0	130	50	0	-1670589192.22443
1255.41067910194	400	184.421	0	130	50	0	-1670589187.14285
1260.4819560051	400	183.692	0	130	50	0	-1670589182.07157
1265.63107705116	400	183.225	0	130	50	0	-1670589176.92245
1270.74684309959	400	182.73	0	130	50	0	-1670589171.80669
1275.85216093063	400	182.342	0	130	50	0	-1670589166.70137
1280.94950509071	400	181.645	0	130	50	0	-1670589161.60402
1286.07718396187	400	181.414	0	130	50	0	-1670589156.47635
1291.20538592339	400	180.624	0	130	50	0	-1670589151.34814
1296.30235099792	400	180.533	0	130	50	0	-1670589146.25118
1301.38147902489	400	179.797	0	130	50	0	-1670589141.17205
1306.48128199577	400	179.472	0	130	50	0	-1670589136.07225
1311.57215094566	400	178.952	0	130	50	0	-1670589130.98138
1316.67448496819	400	178.727	0	130	50	0	-1670589125.87905
1321.79823303223	400	177.858	0	130	50	0	-1670589120.7553
1326.90690112114	400	177.702	0	130	50	0	-1670589115.64663
1332.01331806183	400	177.239	0	130	50	0	-1670589110.54021
1337.11615610123	400	176.91	0	130	50	0	-1670589105.43737
1342.20722413063	400	176.366	0	130	50	0	-1670589100.34631
1347.29054403305	400	176.033	0	130	50	0	-1670589095.26299
1352.37034106255	400	175.237	0	130	50	0	-1670589090.18319
1357.46148490906	400	175.248	0	130	50	0	-1670589085.09205
1362.55505895615	400	174.442	0	130	50	0	-1670589079.99847
1367.65548300743	400	174.327	0	130	50	0	-1670589074.89805
1372.7245759964	400	173.755	0	130	50	0	-1670589069.82895
1377.83026313782	400	173.32	0	130	50	0	-1670589064.72327
1382.91589808464	400	172.753	0	130	50	0	-1670589059.63763
1387.97656011581	400	172.52	0	130	50	0	-1670589054.57697
1393.05907893181	400	171.745	0	130	50	0	-1670589049.49445
1398.155575037	400	171.492	0	130	50	0	-1670589044.39795
1403.26651000977	400	171.193	0	130	50	0	-1670589039.28702
1408.36079096794	400	170.853	0	130	50	0	-1670589034.19274
1413.44682502747	400	170.531	0	130	50	0	-1670589029.10671
1418.56284403801	400	169.922	0	130	50	0	-1670589023.99069
1423.63315796852	400	169.515	0	130	50	0	-1670589018.92037
1428.7140789032	400	168.969	0	130	50	0	-1670589013.83945
1433.78573703766	400	168.737	0	130	50	0	-1670589008.76779
1438.86671495438	400	167.933	0	130	50	0	-1670589003.68682
1443.94770002365	400	167.919	0	130	50	0	-1670588998.60583
1449.02902007103	400	167.259	0	130	50	0	-1670588993.52451
1454.10984897614	400	167.195	0	130	50	0	-1670588988.44368
1459.19087290764	400	166.49	0	130	50	0	-1670588983.36266
1464.27163791656	400	166.263	0	130	50	0	-1670588978.28189
1469.34261703491	400	165.61	0	130	50	0	-1670588973.21091
1474.42713403702	400	165.155	0	130	50	0	-1670588968.1264
1479.48479104042	400	164.739	0	130	50	0	-1670588963.06874
1484.56601810455	400	164.48	0	130	50	0	-1670588957.98751
1489.64667201042	400	163.926	0	130	50	0	-1670588952.90686
1494.72729611397	400	163.613	0	130	50	0	-1670588947.82623
1499.81826400757	400	163.194	0	130	50	0	-1670588942.73527
1504.88377690315	400	162.542	0	130	50	0	-1670588937.66975
1509.97081112862	400	162.289	0	130	50	0	-1670588932.58272
1515.05205798149	400	161.848	0	130	50	0	-1670588927.50147
1520.13393592834	400	161.669	0	130	50	0	-1670588922.41959
1525.20330500603	400	161.055	0	130	50	0	-1670588917.35023
1530.28481197357	400	160.732	0	130	50	0	-1670588912.26872
1535.36025810242	400	160.481	0	130	50	0	-1670588907.19327
1540.43643712997	400	159.845	0	130	50	0	-1670588902.11709
1545.51706314087	400	159.713	0	130	50	0	-1670588897.03647
1552.48631906509	400	158.833	0	130	50	0	-1670588890.06721
1557.74027490616	400	158.788	0	130	50	0	-1670588884.81326
1562.82466697693	400	158.078	0	130	50	0	-1670588879.72886
1567.90183591843	400	157.925	0	130	50	0	-1670588874.65169
1572.98307204247	400	157.23	0	130	50	0	-1670588869.57046
1578.05416607857	400	156.937	0	130	50	0	-1670588864.49936
1583.12512803078	400	156.671	0	130	50	0	-1670588859.4284
1588.19946694374	400	156.048	0	130	50	0	-1670588854.35406
1593.27762699127	400	155.938	0	130	50	0	-1670588849.2759
1598.3677880764	400	155.397	0	130	50	0	-1670588844.18574
1603.43865990639	400	155.168	0	130	50	0	-1670588839.11487
1608.54118704796	400	154.704	0	130	50	0	-1670588834.01234
1613.63161993027	400	154.262	0	130	50	0	-1670588828.92191
1618.72287607193	400	153.972	0	130	50	0	-1670588823.83065
1623.79349803925	400	153.241	0	130	50	0	-1670588818.76003
1628.86672401428	400	153.28	0	130	50	0	-1670588813.68681
1633.96617102623	400	152.557	0	130	50	0	-1670588808.58736
1639.03620409966	400	152.387	0	130	50	0	-1670588803.51733
1644.1429541111	400	151.926	0	130	50	0	-1670588798.41058
1649.24312400818	400	151.41	0	130	50	0	-1670588793.31041
1654.34016299248	400	151.247	0	130	50	0	-1670588788.21337
1659.44989204407	400	150.579	0	130	50	0	-1670588783.10364
1664.54290103912	400	150.566	0	130	50	0	-1670588778.01063
1669.63178706169	400	149.906	0	130	50	0	-1670588772.92174
1674.70405197144	400	149.701	0	130	50	0	-1670588767.84948
1679.78395700455	400	149.364	0	130	50	0	-1670588762.76957
1684.86528611183	400	148.792	0	130	50	0	-1670588757.68824
1689.94567894936	400	148.679	0	130	50	0	-1670588752.60785
1695.01624298096	400	148.045	0	130	50	0	-1670588747.53729
1700.0975189209	400	147.955	0	130	50	0	-1670588742.45601
1705.16858506203	400	147.353	0	130	50	0	-1670588737.38494
1710.24939107895	400	147.027	0	130	50	0	-1670588732.30414
1715.31431102753	400	146.778	0	130	50	0	-1670588727.23922
1720.42165112495	400	146.191	0	130	50	0	-1670588722.13188
1725.54978203774	400	146.022	0	130	50	0	-1670588717.00375
1730.63423800468	400	145.689	0	130	50	0	-1670588711.91929
1738.2147359848	400	145.136	0	130	50	0	-1670588704.33879
1743.48605394363	400	144.829	0	130	50	0	-1670588699.06748
1748.56249403954	400	144.412	0	130	50	0	-1670588693.99104
1753.63860106468	400	144.091	0	130	50	0	-1670588688.91493
1758.70977807045	400	143.831	0	130	50	0	-1670588683.84375
1763.79009413719	400	143.425	0	130	50	0	-1670588678.76344
1768.86096191406	400	143.196	0	130	50	0	-1670588673.69257
1773.9227309227	400	142.558	0	130	50	0	-1670588668.6308
1779.00358390808	400	142.417	0	130	50	0	-1670588663.54995
1784.08483600616	400	141.837	0	130	50	0	-1670588658.46869
1789.14509606361	400	141.732	0	130	50	0	-1670588653.40843
1794.21653413773	400	141.224	0	130	50	0	-1670588648.337
1799.27674102783	400	141.055	0	130	50	0	-1670588643.27679
1804.34821009636	400	140.54	0	130	50	0	-1670588638.20532
1809.40905809402	400	140.359	0	130	50	0	-1670588633.14447
1814.48017597198	400	139.89	0	130	50	0	-1670588628.07335
1819.55118513107	400	139.79	0	130	50	0	-1670588623.00234
1824.64197206497	400	139.169	0	130	50	0	-1670588617.91156
1829.7237200737	400	139.012	0	130	50	0	-1670588612.82981
1834.80417394638	400	138.623	0	130	50	0	-1670588607.74936
1839.87536501884	400	138.49	0	130	50	0	-1670588602.67817
1844.95838403702	400	137.889	0	130	50	0	-1670588597.59515
1850.04669713974	400	137.72	0	130	50	0	-1670588592.50683
1855.11863493919	400	137.308	0	130	50	0	-1670588587.4349
1860.18873310089	400	137.14	0	130	50	0	-1670588582.3648
1865.27998399735	400	136.869	0	130	50	0	-1670588577.27355
1870.36154103279	400	136.431	0	130	50	0	-1670588572.19199
1875.42204403877	400	136.194	0	130	50	0	-1670588567.13149
1880.49298191071	400	135.697	0	130	50	0	-1670588562.06055
1885.56481909752	400	135.562	0	130	50	0	-1670588556.98871
1890.66535902023	400	134.893	0	130	50	0	-1670588551.88817
1895.74670410156	400	134.859	0	130	50	0	-1670588546.80683
1900.81713008881	400	134.329	0	130	50	0	-1670588541.7364
1905.8992190361	400	134.05	0	130	50	0	-1670588536.65431
1910.97922110558	400	133.862	0	130	50	0	-1670588531.57431
1916.06027007103	400	133.257	0	130	50	0	-1670588526.49326
1921.12152791023	400	133.146	0	130	50	0	-1670588521.432
1926.20235490799	400	132.647	0	130	50	0	-1670588516.35118
1931.29285502434	400	132.599	0	130	50	0	-1670588511.26068
1936.3890440464	400	131.903	0	130	50	0	-1670588506.16449
1941.51513290405	400	131.888	0	130	50	0	-1670588501.0384
1946.59696602821	400	131.412	0	130	50	0	-1670588495.95656
1951.6673719883	400	131.135	0	130	50	0	-1670588490.88616
1956.72813296318	400	131.072	0	130	50	0	-1670588485.8254
1961.79869103432	400	130.332	0	130	50	0	-1670588480.75484
1966.87125706673	400	130.32	0	130	50	0	-1670588475.68227
1971.9515440464	400	129.833	0	130	50	0	-1670588470.60199
1977.02196002007	400	129.64	0	130	50	0	-1670588465.53157
1982.10350012779	400	129.368	0	130	50	0	-1670588460.45003
1987.17503499985	400	128.82	0	130	50	0	-1670588455.3785
1992.27493000031	400	128.777	0	130	50	0	-1670588450.2786
1997.36979699135	400	128.446	0	130	50	0	-1670588445.18373
2002.44127202034	400	128.245	0	130	50	0	-1670588440.11226
2007.51779294014	400	127.748	0	130	50	0	-1670588435.03574
2012.58939313889	400	127.615	0	130	50	0	-1670588429.96414
2017.66084098816	400	126.985	0	130	50	0	-1670588424.89269
2022.74072098732	400	126.951	0	130	50	0	-1670588419.81281
2027.84254097939	400	126.377	0	130	50	0	-1670588414.71099
2032.92351007462	400	126.239	0	130	50	0	-1670588409.63002
2037.99447894096	400	125.827	0	130	50	0	-1670588404.55905
2043.07542109489	400	125.582	0	130	50	0	-1670588399.47811
2048.13658690453	400	125.324	0	130	50	0	-1670588394.41694
2053.2069029808	400	124.894	0	130	50	0	-1670588389.34663
2058.27842497826	400	124.782	0	130	50	0	-1670588384.27511
2063.35929012299	400	124.15	0	130	50	0	-1670588379.19424
2068.43018698692	400	124.049	0	130	50	0	-1670588374.12334
2073.51121401787	400	123.406	0	130	50	0	-1670588369.04232
2078.59243798256	400	123.372	0	130	50	0	-1670588363.96109
2083.68428707123	400	122.907	0	130	50	0	-1670588358.86924
2088.75548100472	400	122.655	0	130	50	0	-1670588353.79805
2093.83511900902	400	122.294	0	130	50	0	-1670588348.71841
2098.91716313362	400	121.887	0	130	50	0	-1670588343.63637
2103.99703001976	400	121.809	0	130	50	0	-1670588338.5565
2109.07825899124	400	121.192	0	130	50	0	-1670588333.47527
2114.1386950016	400	121.195	0	130	50	0	-1670588328.41484
2119.20985603333	400	120.623	0	130	50	0	-1670588323.34367
2124.30038309097	400	120.579	0	130	50	0	-1670588318.25315
2129.3720240593	400	119.947	0	130	50	0	-1670588313.18151
2134.44484591484	400	119.793	0	130	50	0	-1670588308.10868
2139.53458499908	400	119.495	0	130	50	0	-1670588303.01895
2144.6047949791	400	119.002	0	130	50	0	-1670588297.94874
2149.70604395866	400	118.997	0	130	50	0	-1670588292.84749
2154.77958703041	400	118.729	0	130	50	0	-1670588287.77394
2159.83779096603	400	118.602	0	130	50	0	-1670588282.71574
2164.92870092392	400	118.105	0	130	50	0	-1670588277.62483
2170.02032494545	400	118.029	0	130	50	0	-1670588272.53321
2175.10125994682	400	117.512	0	130	50	0	-1670588267.45227
2180.19204998016	400	117.334	0	130	50	0	-1670588262.36148
2185.27300000191	400	116.841	0	130	50	0	-1670588257.28053
2190.33365011215	400	116.686	0	130	50	0	-1670588252.21988
2195.4051399231	400	116.133	0	130	50	0	-1670588247.14839
2200.48624396324	400	116.162	0	130	50	0	-1670588242.06729
2205.55731391907	400	115.473	0	130	50	0	-1670588236.99622
2210.63769507408	400	115.303	0	130	50	0	-1670588231.91583
2215.7189040184	400	115.106	0	130	50	0	-1670588226.83463
2220.80535006523	400	114.483	0	130	50	0	-1670588221.74818
2225.88287496567	400	114.424	0	130	50	0	-1670588216.67066
2230.96268892288	400	113.786	0	130	50	0	-1670588211.59084
2236.0530629158	400	113.788	0	130	50	0	-1670588206.50047
2241.12576794624	400	113.552	0	130	50	0	-1670588201.42776
2246.21442699432	400	112.892	0	130	50	0	-1670588196.3391
2251.28768396378	400	112.83	0	130	50	0	-1670588191.26585
2256.35653495789	400	112.174	0	130	50	0	-1670588186.197
2261.43756604195	400	112.096	0	130	50	0	-1670588181.11596
2266.50881004334	400	111.791	0	130	50	0	-1670588176.04472
2271.58973002434	400	111.26	0	130	50	0	-1670588170.9638
2276.6630449295	400	111.319	0	130	50	0	-1670588165.89049
2281.74149394035	400	110.64	0	130	50	0	-1670588160.81204
2286.83235907555	400	110.713	0	130	50	0	-1670588155.72117
2291.91386008263	400	110.151	0	130	50	0	-1670588150.63967
2296.9952750206	400	109.789	0	130	50	0	-1670588145.55826
2302.08637213707	400	109.854	0	130	50	0	-1670588140.46716
2307.20200896263	400	108.997	0	130	50	0	-1670588135.35152
