,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
78,1670518926.74165,80.0,126.645,0.0,130.0,50.0,0.0
79,1670518931.8026881,80.0,126.65100000000001,0.0,130.0,50.0,0.0
80,1670518936.863936,80.0,126.666,0.0,130.0,50.0,0.0
81,1670518941.93482,80.0,126.67,0.0,130.0,50.0,0.0
82,1670518947.015764,80.0,126.53200000000001,0.0,130.0,50.0,0.0
83,1670518952.096778,80.0,126.59,0.0,130.0,50.0,0.0
84,1670518957.1577,80.0,126.61200000000001,0.0,130.0,50.0,0.0
85,1670518962.239794,80.0,126.554,0.0,130.0,50.0,0.0
86,1670518967.320191,80.0,126.52799999999999,0.0,130.0,50.0,0.0
87,1670518972.3909721,80.0,126.56200000000001,0.0,130.0,50.0,0.0
88,1670518977.461921,80.0,126.579,0.0,130.0,50.0,0.0
89,1670518982.55314,80.0,126.584,0.0,130.0,50.0,0.0
90,1670518987.633757,80.0,126.586,0.0,130.0,50.0,0.0
91,1670518992.714602,80.0,126.584,0.0,130.0,50.0,0.0
92,1670518997.79584,80.0,126.585,0.0,130.0,50.0,0.0
93,1670519002.886074,80.0,126.575,0.0,130.0,50.0,0.0
94,1670519007.968052,80.0,126.572,0.0,130.0,50.0,0.0
95,1670519013.0291731,80.0,126.56700000000001,0.0,130.0,50.0,0.0
96,1670519018.09011,80.0,126.493,0.0,130.0,50.0,0.0
97,1670519023.161467,80.0,126.516,0.0,130.0,50.0,0.0
98,1670519028.242423,80.0,126.501,0.0,130.0,50.0,0.0
99,1670519033.322825,80.0,126.499,0.0,130.0,50.0,0.0
100,1670519038.393865,80.0,126.499,0.0,130.0,50.0,0.0
101,1670519043.455465,80.0,126.46700000000001,0.0,130.0,50.0,0.0
102,1670519048.536417,80.0,126.435,0.0,130.0,50.0,0.0
103,1670519053.617615,80.0,126.449,0.0,130.0,50.0,0.0
104,1670519058.698756,80.0,126.45200000000001,0.0,130.0,50.0,0.0
105,1670519063.76973,80.0,126.449,0.0,130.0,50.0,0.0
106,1670519068.862315,80.0,126.43700000000001,0.0,130.0,50.0,0.0
107,1670519073.941317,80.0,126.41,0.0,130.0,50.0,0.0
108,1670519079.02267,80.0,126.40899999999999,0.0,130.0,50.0,0.0
109,1670519084.093856,80.0,126.412,0.0,130.0,50.0,0.0
110,1670519089.164702,80.0,126.399,0.0,130.0,50.0,0.0
111,1670519094.255862,80.0,126.398,0.0,130.0,50.0,0.0
112,1670519099.346208,80.0,126.376,0.0,130.0,50.0,0.0
113,1670519104.41814,80.0,126.34,0.0,130.0,50.0,0.0
114,1670519109.499018,80.0,126.344,0.0,130.0,50.0,0.0
115,1670519114.569747,80.0,126.34299999999999,0.0,130.0,50.0,0.0
116,1670519119.640985,80.0,126.29899999999999,0.0,130.0,50.0,0.0
117,1670519124.7219481,80.0,126.31200000000001,0.0,130.0,50.0,0.0
118,1670519129.792891,80.0,126.292,0.0,130.0,50.0,0.0
119,1670519134.864288,80.0,126.296,0.0,130.0,50.0,0.0
120,1670519139.9346051,80.0,126.07,0.0,130.0,50.0,0.0
121,1670519145.005917,80.0,126.146,0.0,130.0,50.0,0.0
122,1670519150.086164,80.0,126.18799999999999,0.0,130.0,50.0,0.0
123,1670519155.167963,80.0,126.20700000000001,0.0,130.0,50.0,0.0
124,1670519160.238201,80.0,126.22399999999999,0.0,130.0,50.0,0.0
125,1670519165.319541,80.0,126.23299999999999,0.0,130.0,50.0,0.0
126,1670519170.41028,80.0,126.22,0.0,130.0,50.0,0.0
127,1670519175.482258,80.0,126.214,0.0,130.0,50.0,0.0
128,1670519180.582438,80.0,126.227,0.0,130.0,50.0,0.0
129,1670519185.674825,80.0,126.194,0.0,130.0,50.0,0.0
130,1670519190.748471,80.0,126.198,0.0,130.0,50.0,0.0
131,1670519195.816576,80.0,126.20100000000001,0.0,130.0,50.0,0.0
132,1670519200.907025,80.0,126.21600000000001,0.0,130.0,50.0,0.0
133,1670519205.977735,80.0,125.955,0.0,130.0,50.0,0.0
134,1670519211.069448,80.0,126.04299999999999,0.0,130.0,50.0,0.0
135,1670519216.15049,80.0,126.101,0.0,130.0,50.0,0.0
136,1670519221.221459,80.0,126.10700000000001,0.0,130.0,50.0,0.0
137,1670519226.312607,80.0,126.12100000000001,0.0,130.0,50.0,0.0
138,1670519231.3836641,80.0,126.149,0.0,130.0,50.0,0.0
139,1670519236.4667802,80.0,126.167,0.0,130.0,50.0,0.0
140,1670519241.545931,80.0,126.18,0.0,130.0,50.0,0.0
141,1670519246.616743,80.0,126.191,0.0,130.0,50.0,0.0
142,1670519251.687595,80.0,126.184,0.0,130.0,50.0,0.0
143,1670519256.768289,80.0,126.19200000000001,0.0,130.0,50.0,0.0
144,1670519261.839861,80.0,126.2,0.0,130.0,50.0,0.0
145,1670519266.920742,80.0,126.199,0.0,130.0,50.0,0.0
146,1670519271.991648,80.0,126.213,0.0,130.0,50.0,0.0
147,1670519277.062979,80.0,126.19200000000001,0.0,130.0,50.0,0.0
148,1670519282.143904,80.0,126.14,0.0,130.0,50.0,0.0
149,1670519287.215323,80.0,126.13600000000001,0.0,130.0,50.0,0.0
150,1670519292.285652,80.0,126.152,0.0,130.0,50.0,0.0
151,1670519297.365993,80.0,126.14,5.0,130.0,50.0,0.0
152,1670519302.438034,80.0,126.085,5.0,130.0,50.0,0.0
153,1670519307.5190449,80.0,126.13600000000001,5.0,130.0,50.0,0.0
154,1670519312.59023,80.0,126.179,5.0,130.0,50.0,0.0
155,1670519317.6613722,80.0,126.189,5.0,130.0,50.0,0.0
156,1670519322.742545,80.0,126.193,5.0,130.0,50.0,0.0
157,1670519327.8233562,80.0,126.209,5.0,130.0,50.0,0.0
158,1670519332.884715,80.0,126.212,5.0,130.0,50.0,0.0
159,1670519337.9653609,80.0,126.18299999999999,5.0,130.0,50.0,0.0
160,1670519343.045682,80.0,126.18799999999999,5.0,130.0,50.0,0.0
161,1670519348.116905,80.0,126.137,5.0,130.0,50.0,0.0
162,1670519353.187775,80.0,126.166,5.0,130.0,50.0,0.0
163,1670519358.268775,80.0,126.182,5.0,130.0,50.0,0.0
164,1670519363.3500538,80.0,126.209,5.0,130.0,50.0,0.0
165,1670519368.432209,80.0,126.223,5.0,130.0,50.0,0.0
166,1670519373.492509,80.0,126.245,5.0,130.0,50.0,0.0
168,1670519383.673707,80.0,126.225,5.0,130.0,50.0,0.0
169,1670519388.745697,80.0,126.255,5.0,130.0,50.0,0.0
170,1670519393.816134,80.0,126.244,5.0,130.0,50.0,0.0
171,1670519398.877326,80.0,126.265,5.0,130.0,50.0,0.0
172,1670519403.97794,80.0,126.225,5.0,130.0,50.0,0.0
173,1670519409.067244,80.0,126.24700000000001,5.0,130.0,50.0,0.0
174,1670519414.1501,80.0,126.265,5.0,130.0,50.0,0.0
175,1670519419.2318661,80.0,126.275,5.0,130.0,50.0,0.0
176,1670519424.292848,80.0,126.28399999999999,5.0,130.0,50.0,0.0
177,1670519429.363688,80.0,126.29,5.0,130.0,50.0,0.0
178,1670519434.434596,80.0,126.31,5.0,130.0,50.0,0.0
179,1670519439.535992,80.0,126.193,5.0,130.0,50.0,0.0
180,1670519444.607019,80.0,126.241,5.0,130.0,50.0,0.0
181,1670519449.67803,80.0,126.273,5.0,130.0,50.0,0.0
182,1670519454.749044,80.0,126.294,5.0,130.0,50.0,0.0
183,1670519459.819537,80.0,126.305,5.0,130.0,50.0,0.0
184,1670519464.8910651,80.0,126.32799999999999,5.0,130.0,50.0,0.0
185,1670519469.96187,80.0,126.09200000000001,5.0,130.0,50.0,0.0
186,1670519475.0328789,80.0,126.17,5.0,130.0,50.0,0.0
187,1670519480.1033,80.0,126.098,5.0,130.0,50.0,0.0
188,1670519485.174703,80.0,126.177,5.0,130.0,50.0,0.0
189,1670519490.245692,80.0,126.213,5.0,130.0,50.0,0.0
190,1670519495.3264802,80.0,126.24,5.0,130.0,50.0,0.0
191,1670519500.4083712,80.0,126.27,5.0,130.0,50.0,0.0
192,1670519505.488573,80.0,126.29299999999999,5.0,130.0,50.0,0.0
193,1670519510.570447,80.0,126.29899999999999,5.0,130.0,50.0,0.0
194,1670519515.6406438,80.0,126.23100000000001,5.0,130.0,50.0,0.0
195,1670519520.712287,80.0,126.275,5.0,130.0,50.0,0.0
196,1670519525.792957,80.0,126.251,5.0,130.0,50.0,0.0
197,1670519530.874597,80.0,126.288,5.0,130.0,50.0,0.0
198,1670519535.94573,80.0,125.698,5.0,130.0,50.0,0.0
199,1670519541.016527,80.0,125.725,5.0,130.0,50.0,0.0
200,1670519546.087558,80.0,125.662,5.0,130.0,50.0,0.0
201,1670519551.1684961,80.0,125.81200000000001,5.0,130.0,50.0,0.0
202,1670519556.239678,80.0,125.861,5.0,130.0,50.0,0.0
203,1670519561.330003,80.0,125.93,5.0,130.0,50.0,0.0
204,1670519566.39181,80.0,125.961,5.0,130.0,50.0,0.0
205,1670519571.472731,80.0,126.042,5.0,130.0,50.0,0.0
206,1670519576.543885,80.0,126.083,5.0,130.0,50.0,0.0
207,1670519581.61464,80.0,126.064,5.0,130.0,50.0,0.0
208,1670519586.6998231,80.0,126.118,5.0,130.0,50.0,0.0
209,1670519591.78598,80.0,126.16,5.0,130.0,50.0,0.0
210,1670519596.868201,80.0,126.169,5.0,130.0,50.0,0.0
211,1670519601.949162,80.0,126.171,5.0,130.0,50.0,0.0
212,1670519607.009947,80.0,126.094,5.0,130.0,50.0,0.0
213,1670519612.090319,80.0,126.021,5.0,130.0,50.0,0.0
214,1670519617.171963,80.0,126.098,5.0,130.0,50.0,0.0
215,1670519622.2430859,80.0,126.15100000000001,5.0,130.0,50.0,0.0
216,1670519627.341953,80.0,126.09,5.0,130.0,50.0,0.0
217,1670519632.4451141,80.0,126.154,5.0,130.0,50.0,0.0
218,1670519637.516318,80.0,126.149,5.0,130.0,50.0,0.0
219,1670519642.607241,80.0,126.156,5.0,130.0,50.0,0.0
220,1670519647.703199,80.0,126.15899999999999,5.0,130.0,50.0,0.0
221,1670519652.838533,80.0,126.19200000000001,5.0,130.0,50.0,0.0
222,1670519657.909707,80.0,126.17399999999999,5.0,130.0,50.0,0.0
223,1670519663.020962,80.0,126.181,5.0,130.0,50.0,0.0
224,1670519668.122343,80.0,126.225,5.0,130.0,50.0,0.0
225,1670519673.192811,80.0,126.175,5.0,130.0,50.0,0.0
226,1670519678.2756462,80.0,126.178,5.0,130.0,50.0,0.0
227,1670519683.344951,80.0,126.22,5.0,130.0,50.0,0.0
228,1670519688.4054801,80.0,126.25399999999999,5.0,130.0,50.0,0.0
229,1670519693.4912732,80.0,126.27799999999999,5.0,130.0,50.0,0.0
230,1670519698.5578961,80.0,126.29700000000001,5.0,130.0,50.0,0.0
231,1670519703.640525,80.0,126.295,5.0,130.0,50.0,0.0
232,1670519708.710142,80.0,126.30799999999999,5.0,130.0,50.0,0.0
233,1670519713.773191,80.0,126.321,5.0,130.0,50.0,0.0
234,1670519718.851864,80.0,126.318,5.0,130.0,50.0,0.0
235,1670519723.9232938,80.0,126.32799999999999,5.0,130.0,50.0,0.0
236,1670519728.994479,80.0,126.32600000000001,5.0,130.0,50.0,0.0
237,1670519734.075324,80.0,126.337,5.0,130.0,50.0,0.0
238,1670519739.14594,80.0,126.348,5.0,130.0,50.0,0.0
239,1670519744.250298,80.0,126.353,5.0,130.0,50.0,0.0
240,1670519749.348295,80.0,126.365,5.0,130.0,50.0,0.0
241,1670519754.41923,80.0,126.351,5.0,130.0,50.0,0.0
242,1670519759.490971,80.0,126.355,5.0,130.0,50.0,0.0
243,1670519764.561181,80.0,126.365,5.0,130.0,50.0,0.0
244,1670519769.6328402,80.0,126.338,5.0,130.0,50.0,0.0
245,1670519774.714117,80.0,126.264,5.0,130.0,50.0,0.0
246,1670519779.79532,80.0,126.28,10.0,130.0,50.0,0.0
247,1670519784.8657131,80.0,126.33200000000001,10.0,130.0,50.0,0.0
248,1670519789.957176,80.0,126.324,10.0,130.0,50.0,0.0
249,1670519795.019842,80.0,126.40299999999999,10.0,130.0,50.0,0.0
250,1670519800.093858,80.0,126.471,10.0,130.0,50.0,0.0
251,1670519805.189107,80.0,126.527,10.0,130.0,50.0,0.0
252,1670519810.263577,80.0,126.55799999999999,10.0,130.0,50.0,0.0
253,1670519815.351328,80.0,126.552,10.0,130.0,50.0,0.0
254,1670519820.42264,80.0,126.595,10.0,130.0,50.0,0.0
255,1670519825.503893,80.0,126.615,10.0,130.0,50.0,0.0
256,1670519830.594858,80.0,126.66,10.0,130.0,50.0,0.0
257,1670519835.666038,80.0,126.704,10.0,130.0,50.0,0.0
258,1670519840.736495,80.0,126.65899999999999,10.0,130.0,50.0,0.0
259,1670519845.808048,80.0,126.72399999999999,10.0,130.0,50.0,0.0
260,1670519850.888586,80.0,126.568,10.0,130.0,50.0,0.0
261,1670519855.970226,80.0,126.678,10.0,130.0,50.0,0.0
262,1670519861.04196,80.0,126.73100000000001,10.0,130.0,50.0,0.0
263,1670519866.141474,80.0,126.79,10.0,130.0,50.0,0.0
264,1670519871.2232711,80.0,126.81200000000001,10.0,130.0,50.0,0.0
265,1670519876.303824,80.0,126.851,10.0,130.0,50.0,0.0
266,1670519881.375294,80.0,126.896,10.0,130.0,50.0,0.0
267,1670519886.445526,80.0,126.93,10.0,130.0,50.0,0.0
268,1670519891.52736,80.0,126.93700000000001,10.0,130.0,50.0,0.0
269,1670519896.608609,80.0,126.866,10.0,130.0,50.0,0.0
270,1670519901.678746,80.0,126.911,10.0,130.0,50.0,0.0
271,1670519906.7399929,80.0,126.87899999999999,10.0,130.0,50.0,0.0
272,1670519911.8216221,80.0,126.685,10.0,130.0,50.0,0.0
273,1670519916.902932,80.0,126.81200000000001,10.0,130.0,50.0,0.0
275,1670519927.084709,80.0,126.92399999999999,10.0,130.0,50.0,0.0
276,1670519932.165869,80.0,126.963,10.0,130.0,50.0,0.0
277,1670519937.236818,80.0,127.02600000000001,10.0,130.0,50.0,0.0
278,1670519942.3174028,80.0,127.00299999999999,10.0,130.0,50.0,0.0
279,1670519947.398551,80.0,127.071,10.0,130.0,50.0,0.0
280,1670519952.479449,80.0,127.12299999999999,10.0,130.0,50.0,0.0
281,1670519957.5511382,80.0,127.15100000000001,10.0,130.0,50.0,0.0
282,1670519962.621542,80.0,127.19200000000001,10.0,130.0,50.0,0.0
283,1670519967.702773,80.0,127.219,10.0,130.0,50.0,0.0
284,1670519972.783965,80.0,127.234,10.0,130.0,50.0,0.0
285,1670519977.8649929,80.0,127.25399999999999,10.0,130.0,50.0,0.0
286,1670519982.9362519,80.0,127.28200000000001,10.0,130.0,50.0,0.0
287,1670519988.006662,80.0,127.311,10.0,130.0,50.0,0.0
288,1670519993.078042,80.0,127.34,10.0,130.0,50.0,0.0
289,1670519998.148993,80.0,127.34700000000001,10.0,130.0,50.0,0.0
290,1670520003.230253,80.0,127.375,10.0,130.0,50.0,0.0
291,1670520008.311355,80.0,127.383,10.0,130.0,50.0,0.0
292,1670520013.38231,80.0,127.25399999999999,10.0,130.0,50.0,0.0
293,1670520018.4533641,80.0,127.336,10.0,130.0,50.0,0.0
294,1670520023.524452,80.0,127.39,10.0,130.0,50.0,0.0
295,1670520028.607363,80.0,127.43299999999999,10.0,130.0,50.0,0.0
296,1670520033.696381,80.0,127.43299999999999,10.0,130.0,50.0,0.0
297,1670520038.758667,80.0,127.46,10.0,130.0,50.0,0.0
298,1670520043.838379,80.0,127.412,10.0,130.0,50.0,0.0
299,1670520048.8990679,80.0,127.448,10.0,130.0,50.0,0.0
300,1670520053.9805279,80.0,127.48700000000001,10.0,130.0,50.0,0.0
301,1670520059.0506349,80.0,127.52799999999999,10.0,130.0,50.0,0.0
302,1670520064.112591,80.0,127.551,10.0,130.0,50.0,0.0
303,1670520069.182455,80.0,127.587,10.0,130.0,50.0,0.0
304,1670520074.2443118,80.0,127.631,10.0,130.0,50.0,0.0
305,1670520079.326723,80.0,127.67,10.0,130.0,50.0,0.0
306,1670520084.4092278,80.0,127.671,10.0,130.0,50.0,0.0
307,1670520089.477383,80.0,127.70700000000001,10.0,130.0,50.0,0.0
308,1670520094.558715,80.0,127.698,10.0,130.0,50.0,0.0
309,1670520099.6296551,80.0,127.615,10.0,130.0,50.0,0.0
310,1670520104.710647,80.0,127.493,10.0,130.0,50.0,0.0
311,1670520109.792042,80.0,127.62100000000001,10.0,130.0,50.0,0.0
312,1670520114.882732,80.0,127.43700000000001,10.0,130.0,50.0,0.0
313,1670520119.9639199,80.0,127.34700000000001,10.0,130.0,50.0,0.0
314,1670520125.054881,80.0,127.456,10.0,130.0,50.0,0.0
315,1670520130.12588,80.0,127.51899999999999,10.0,130.0,50.0,0.0
316,1670520135.196935,80.0,127.605,10.0,130.0,50.0,0.0
317,1670520140.258291,80.0,127.626,10.0,130.0,50.0,0.0
318,1670520145.3381429,80.0,127.65899999999999,10.0,130.0,50.0,0.0
319,1670520150.409738,80.0,127.729,10.0,130.0,50.0,0.0
320,1670520155.4810221,80.0,127.694,10.0,130.0,50.0,0.0
321,1670520160.54234,80.0,127.757,10.0,130.0,50.0,0.0
322,1670520165.6224039,80.0,127.76,10.0,130.0,50.0,0.0
323,1670520170.6941938,80.0,127.824,10.0,130.0,50.0,0.0
324,1670520175.764339,80.0,127.868,10.0,130.0,50.0,0.0
325,1670520180.846025,80.0,127.896,10.0,130.0,50.0,0.0
326,1670520185.926836,80.0,127.934,10.0,130.0,50.0,0.0
327,1670520190.998497,80.0,127.818,10.0,130.0,50.0,0.0
328,1670520196.0693939,80.0,127.90899999999999,10.0,130.0,50.0,0.0
329,1670520201.150251,80.0,127.948,10.0,130.0,50.0,0.0
330,1670520206.230762,80.0,127.984,10.0,130.0,50.0,0.0
331,1670520211.301662,80.0,127.969,10.0,130.0,50.0,0.0
332,1670520216.372907,80.0,128.02,10.0,130.0,50.0,0.0
333,1670520221.4544039,80.0,127.96799999999999,10.0,130.0,50.0,0.0
334,1670520226.5254939,80.0,128.03799999999998,10.0,130.0,50.0,0.0
335,1670520231.595603,80.0,128.07399999999998,10.0,130.0,50.0,0.0
336,1670520236.66712,80.0,128.109,10.0,130.0,50.0,0.0
337,1670520241.748436,80.0,128.137,10.0,130.0,50.0,0.0
338,1670520246.838537,80.0,128.16,10.0,130.0,50.0,0.0
339,1670520251.9106061,80.0,128.185,10.0,130.0,50.0,0.0
