,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
84,175.40178799999998,100.0,106.977,0.0,67.3,48.5,100.0
85,177.472871,100.0,106.825,0.0,67.3,48.5,100.0
86,179.54267,100.0,106.685,0.0,67.3,48.5,100.0
87,181.623742,100.0,106.54,0.0,67.3,48.5,100.0
88,183.69388700000002,100.0,106.419,0.0,67.3,48.5,100.0
89,185.764177,100.0,106.27,0.0,67.3,48.5,100.0
90,187.824491,100.0,106.147,0.0,67.3,48.5,100.0
91,189.894631,100.0,105.93700000000001,0.0,67.3,48.5,100.0
92,191.974908,100.0,105.79700000000001,0.0,67.3,48.5,100.0
93,194.04599299999998,100.0,105.655,0.0,67.3,48.5,100.0
94,196.106281,100.0,105.491,0.0,67.3,48.5,100.0
95,198.186713,100.0,105.375,0.0,67.3,48.5,100.0
96,200.26655,100.0,105.21799999999999,0.0,67.3,48.5,100.0
97,202.387072,100.0,105.094,0.0,67.3,48.5,100.0
98,204.488054,100.0,104.977,0.0,67.3,48.5,100.0
99,206.590018,104.839,100.0,0.0,67.3,48.5,100.0
100,208.688277,100.0,104.68,0.0,67.3,48.5,100.0
101,210.758666,100.0,104.536,0.0,67.3,48.5,100.0
102,212.829533,100.0,104.39200000000001,0.0,67.3,48.5,100.0
103,214.929938,100.0,104.26700000000001,0.0,67.3,48.5,100.0
104,217.010525,100.0,104.12,0.0,67.3,48.5,100.0
105,219.090327,100.0,103.991,0.0,67.3,48.5,100.0
106,221.171133,100.0,103.875,0.0,67.3,48.5,100.0
107,223.27153399999997,100.0,103.75,0.0,67.3,48.5,100.0
108,225.409009,100.0,103.64399999999999,0.0,67.3,48.5,100.0
109,227.48237200000003,100.0,103.492,0.0,67.3,48.5,100.0
110,229.56196,100.0,103.321,0.0,67.3,48.5,100.0
111,231.62318900000002,100.0,103.223,0.0,67.3,48.5,100.0
112,233.70317000000003,100.0,103.083,0.0,67.3,48.5,100.0
113,235.77413900000002,100.0,102.986,0.0,67.3,48.5,100.0
114,237.844383,100.0,102.87,0.0,67.3,48.5,100.0
115,239.92410299999997,100.0,102.66,0.0,67.3,48.5,100.0
116,242.00520699999998,100.0,102.546,0.0,67.3,48.5,100.0
117,244.075827,100.0,102.425,0.0,67.3,48.5,100.0
118,246.14522999999997,100.0,102.29700000000001,0.0,67.3,48.5,100.0
119,248.226629,100.0,102.206,0.0,67.3,48.5,100.0
120,250.336779,100.0,102.06700000000001,0.0,67.3,48.5,100.0
121,252.476621,100.0,101.96,0.0,67.3,48.5,100.0
122,254.57761299999999,100.0,101.81700000000001,0.0,67.3,48.5,100.0
123,256.707301,100.0,101.709,0.0,67.3,48.5,100.0
124,258.778183,100.0,101.546,0.0,67.3,48.5,100.0
125,260.84878100000003,100.0,101.421,0.0,67.3,48.5,100.0
126,262.919243,100.0,101.28200000000001,0.0,67.3,48.5,100.0
127,264.99942400000003,100.0,101.155,0.0,67.3,48.5,100.0
128,267.079034,100.0,100.99600000000001,0.0,67.3,48.5,100.0
129,269.17179500000003,100.0,100.87,0.0,67.3,48.5,100.0
130,271.24035200000003,100.0,100.75399999999999,0.0,67.3,48.5,100.0
131,273.38082799999995,100.0,100.633,0.0,67.3,48.5,100.0
132,275.48104900000004,100.0,100.499,0.0,67.3,48.5,100.0
133,277.552139,100.0,100.42399999999999,0.0,67.3,48.5,100.0
134,279.632857,100.0,100.24700000000001,1.1,67.3,48.5,100.0
135,281.712028,100.0,100.115,3.0,67.3,48.5,100.0
136,283.772111,100.0,99.9887,4.4,67.3,48.5,100.0
